frame,ID,X,Y,Class,Color,Position
42,12,409,433,Player,white,Attack
42,13,267,126,Player,blue,Defense
42,30,346,497,Player,blue,Defense
42,0,302,453,Ball,white,Ball
48,1,217,397,Player,white,Attack
48,2,347,465,Player,white,Attack
48,3,294,439,Player,white,Attack
48,4,311,547,Player,white,Attack
48,5,235,369,Player,blue,Defense
48,6,311,483,Player,blue,Defense
48,8,228,216,Player,white,Attack
48,9,41,316,Player,white,Attack
48,10,345,589,Player,blue,Defense
48,11,237,346,Player,white,Attack
48,12,402,431,Player,white,Attack
48,13,253,96,Player,blue,Defense
48,30,327,490,Player,blue,Defense
48,0,302,445,Ball,white,Ball
48,41,401,263,Player,white,Attack
54,1,212,369,Player,white,Attack
54,2,315,425,Player,white,Attack
54,3,303,426,Player,white,Attack
54,4,277,506,Player,white,Attack
54,5,242,355,Player,white,Attack
54,6,298,471,Player,blue,Defense
54,8,207,226,Player,white,Attack
54,10,323,551,Player,blue,Defense
54,11,236,349,Player,white,Attack
54,12,386,403,Player,white,Attack
54,13,237,122,Player,blue,Defense
54,30,286,443,Player,blue,Defense
54,35,313,427,Player,white,Attack
54,39,200,7,Player,blue,Defense
54,41,365,255,Player,white,Attack
54,43,310,434,Player,white,Attack
54,0,302,443,Ball,white,Ball
60,1,204,376,Player,white,Attack
60,3,302,448,Player,white,Attack
60,4,262,520,Player,white,Attack
60,5,241,359,Player,blue,Defense
60,6,294,498,Player,blue,Defense
60,8,197,198,Player,white,Attack
60,10,310,573,Player,blue,Defense
60,11,223,328,Player,white,Attack
60,12,388,423,Player,white,Attack
60,13,233,71,Player,blue,Defense
60,30,278,473,Player,blue,Defense
60,35,310,447,Player,white,Attack
60,41,368,245,Player,white,Attack
60,0,298,473,Ball,white,Ball
60,48,315,435,Player,white,Attack
66,1,203,383,Player,white,Attack
66,3,300,447,Player,white,Attack
66,4,254,515,Player,white,Attack
66,5,245,357,Player,blue,Defense
66,6,297,502,Player,blue,Defense
66,8,195,194,Player,white,Attack
66,10,303,570,Player,blue,Defense
66,11,222,323,Player,white,Attack
66,12,385,418,Player,white,Attack
66,13,234,73,Player,blue,Defense
66,30,271,467,Player,blue,Defense
66,35,302,435,Player,white,Attack
66,41,359,246,Player,white,Attack
66,43,303,449,Player,white,Attack
66,0,297,477,Ball,white,Ball
66,48,322,434,Player,blue,Defense
72,1,202,392,Player,white,Attack
72,3,302,466,Player,white,Attack
72,4,251,519,Player,white,Attack
72,5,247,365,Player,blue,Defense
72,6,304,516,Player,blue,Defense
72,8,191,197,Player,white,Attack
72,10,302,572,Player,blue,Defense
72,11,221,327,Player,white,Attack
72,12,385,428,Player,white,Attack
72,13,231,79,Player,blue,Defense
72,30,268,473,Player,blue,Defense
72,35,299,444,Player,white,Attack
72,41,351,252,Player,white,Attack
72,43,303,464,Player,white,Attack
72,0,298,490,Ball,white,Ball
72,48,323,434,Player,blue,Defense
78,1,211,414,Player,white,Attack
78,3,309,533,Player,white,Attack
78,4,244,521,Player,white,Attack
78,5,262,371,Player,blue,Defense
78,6,327,504,Player,blue,Defense
78,8,205,190,Player,white,Attack
78,10,308,535,Player,blue,Defense
78,11,230,329,Player,white,Attack
78,12,402,441,Player,white,Attack
78,13,247,59,Player,blue,Defense
78,30,264,468,Player,blue,Defense
78,35,288,438,Player,white,Attack
78,41,356,243,Player,white,Attack
78,48,345,458,Player,blue,Defense
78,50,419,353,Player,blue,Defense
78,53,452,592,Player,white,Attack
78,0,340,526,Ball,white,Ball
84,1,205,400,Player,white,Attack
84,3,301,512,Player,white,Attack
84,4,238,509,Player,white,Attack
84,5,256,353,Player,blue,Defense
84,6,329,499,Player,blue,Defense
84,8,201,183,Player,white,Attack
84,10,306,513,Player,blue,Defense
84,11,226,314,Player,white,Attack
84,12,401,435,Player,white,Attack
84,13,240,59,Player,blue,Defense
84,30,259,455,Player,blue,Defense
84,35,280,422,Player,white,Attack
84,41,349,233,Player,white,Attack
84,48,347,453,Player,blue,Defense
84,50,410,343,Player,blue,Defense
84,53,441,571,Player,white,Attack
84,0,362,540,Ball,white,Ball
90,1,210,398,Player,white,Attack
90,3,301,508,Player,white,Attack
90,4,240,504,Player,white,Attack
90,5,259,346,Player,blue,Defense
90,6,336,487,Player,blue,Defense
90,8,206,178,Player,white,Attack
90,10,314,502,Player,blue,Defense
90,11,231,311,Player,white,Attack
90,12,412,438,Player,white,Attack
90,13,249,59,Player,blue,Defense
90,30,261,449,Player,blue,Defense
90,35,282,414,Player,white,Attack
90,41,355,229,Player,white,Attack
90,43,311,502,Player,blue,Defense
90,48,356,459,Player,blue,Defense
90,50,412,344,Player,blue,Defense
90,53,433,567,Player,white,Attack
90,0,382,542,Ball,white,Ball
90,66,480,558,Player,blue,Defense
96,1,216,408,Player,white,Attack
96,3,305,521,Player,white,Attack
96,4,243,508,Player,white,Attack
96,5,263,353,Player,blue,Defense
96,6,343,489,Player,blue,Defense
96,8,213,194,Player,white,Attack
96,11,236,320,Player,white,Attack
96,12,422,451,Player,white,Attack
96,13,252,73,Player,blue,Defense
96,30,265,456,Player,blue,Defense
96,35,285,418,Player,white,Attack
96,41,360,240,Player,white,Attack
96,43,322,511,Player,blue,Defense
96,48,365,473,Player,blue,Defense
96,50,411,355,Player,blue,Defense
96,53,426,568,Player,white,Attack
96,66,467,558,Player,blue,Defense
96,72,453,437,Player,blue,Defense
96,0,404,562,Ball,white,Ball
102,1,232,419,Player,white,Attack
102,3,317,538,Player,white,Attack
102,4,255,516,Player,white,Attack
102,5,280,364,Player,blue,Defense
102,6,360,487,Player,blue,Defense
102,8,231,198,Player,white,Attack
102,11,253,326,Player,white,Attack
102,12,440,468,Player,white,Attack
102,13,282,99,Player,blue,Defense
102,30,276,464,Player,blue,Defense
102,35,302,427,Player,white,Attack
102,41,383,256,Player,white,Attack
102,43,339,522,Player,blue,Defense
102,48,382,491,Player,blue,Defense
102,50,424,378,Player,blue,Defense
102,53,425,575,Player,white,Attack
102,66,461,566,Player,blue,Defense
102,72,463,457,Player,blue,Defense
102,0,425,572,Ball,white,Ball
108,1,237,410,Player,white,Attack
108,3,316,549,Player,white,Attack
108,4,257,508,Player,white,Attack
108,5,281,350,Player,blue,Defense
108,6,374,458,Player,blue,Defense
108,8,232,172,Player,white,Attack
108,11,254,307,Player,white,Attack
108,12,464,486,Player,white,Attack
108,13,295,93,Player,blue,Defense
108,30,274,458,Player,blue,Defense
108,35,307,411,Player,white,Attack
108,41,397,239,Player,white,Attack
108,43,355,530,Player,blue,Defense
108,48,390,515,Player,blue,Defense
108,50,422,374,Player,blue,Defense
108,53,411,572,Player,white,Attack
108,66,444,567,Player,blue,Defense
108,72,479,478,Player,blue,Defense
108,74,539,253,Player,white,Attack
108,75,552,228,Player,blue,Defense
108,0,403,569,Ball,white,Ball
114,1,260,441,Player,white,Attack
114,3,318,583,Player,white,Attack
114,4,274,530,Player,white,Attack
114,5,295,383,Player,blue,Defense
114,6,393,465,Player,blue,Defense
114,8,249,211,Player,white,Attack
114,11,269,339,Player,white,Attack
114,12,486,533,Player,white,Attack
114,13,317,138,Player,blue,Defense
114,30,285,484,Player,blue,Defense
114,35,328,440,Player,white,Attack
114,41,415,270,Player,white,Attack
114,43,369,569,Player,blue,Defense
114,48,389,548,Player,white,Attack
114,50,421,414,Player,blue,Defense
114,53,396,581,Player,white,Attack
114,66,438,589,Player,blue,Defense
114,72,500,521,Player,blue,Defense
114,74,546,260,Player,white,Attack
114,75,555,259,Player,blue,Defense
114,0,364,589,Ball,white,Ball
120,1,262,426,Player,white,Attack
120,3,319,582,Player,white,Attack
120,4,274,518,Player,white,Attack
120,5,297,368,Player,blue,Defense
120,6,401,453,Player,blue,Defense
120,8,250,188,Player,white,Attack
120,11,270,321,Player,white,Attack
120,12,494,542,Player,white,Attack
120,13,326,140,Player,blue,Defense
120,30,284,473,Player,blue,Defense
120,35,334,433,Player,white,Attack
120,41,420,271,Player,white,Attack
120,43,366,565,Player,blue,Defense
120,50,418,414,Player,blue,Defense
120,53,392,571,Player,white,Attack
120,66,444,589,Player,blue,Defense
120,72,507,531,Player,blue,Defense
120,74,539,270,Player,white,Attack
120,75,546,268,Player,blue,Defense
120,84,399,567,Player,blue,Defense
120,0,349,590,Ball,white,Ball
126,1,258,421,Player,white,Attack
126,3,311,589,Player,white,Attack
126,4,269,514,Player,white,Attack
126,5,290,359,Player,blue,Defense
126,6,400,436,Player,blue,Defense
126,8,247,172,Player,white,Attack
126,11,265,309,Player,white,Attack
126,12,503,549,Player,white,Attack
126,13,329,123,Player,white,Attack
126,30,277,469,Player,blue,Defense
126,35,331,430,Player,white,Attack
126,41,424,245,Player,white,Attack
126,43,353,571,Player,blue,Defense
126,50,410,408,Player,blue,Defense
126,53,382,568,Player,white,Attack
126,66,444,592,Player,blue,Defense
126,72,518,524,Player,blue,Defense
126,84,392,568,Player,blue,Defense
126,0,323,593,Ball,white,Ball
132,1,266,425,Player,white,Attack
132,3,315,598,Player,white,Attack
132,4,275,517,Player,white,Attack
132,5,299,367,Player,blue,Defense
132,6,410,433,Player,blue,Defense
132,8,260,175,Player,white,Attack
132,11,274,309,Player,white,Attack
132,12,513,572,Player,white,Attack
132,13,347,138,Player,blue,Defense
132,30,282,473,Player,white,Attack
132,35,340,439,Player,white,Attack
132,41,436,255,Player,white,Attack
132,43,351,581,Player,blue,Defense
132,50,411,425,Player,blue,Defense
132,53,378,565,Player,white,Attack
132,66,455,607,Player,blue,Defense
132,72,528,558,Player,blue,Defense
132,84,395,587,Player,blue,Defense
132,94,410,436,Player,blue,Defense
132,0,331,584,Ball,white,Ball
138,1,289,447,Player,white,Attack
138,3,332,618,Player,white,Attack
138,4,297,532,Player,white,Attack
138,5,315,389,Player,blue,Defense
138,6,435,445,Player,blue,Defense
138,8,281,212,Player,white,Attack
138,11,294,339,Player,white,Attack
138,12,542,593,Player,white,Attack
138,30,299,495,Player,blue,Defense
138,35,366,467,Player,white,Attack
